category,products_in_category,cnt_distinct_products,cnt_purchased,sum_price,avg_price
'Oral Care',"[Hello Antiplaque Whitening Toothpaste, Fluoride Free Toothpaste for Teeth Whitening with Natural Peppermint Flavor and Tea Tree Oil, Peroxide Free, Gluten Free, SLS Free, 3 Pack, 4.7 OZ Tubes, Plackers Micro Mint Dental Flossers, Fresh Mint Flavor, Fold-Out Toothpick, Super Tuffloss, Easy Storage with Sure-Zip Seal, 150 Count, Amazon Basics Kids Battery Powered Toothbrush, 2 Count, 1 Pack (Previously Solimo)]",3,3,27.589999999999996,9.196666666666665
'Cleansers',"[Dermaharmony 2% Pyrithione Zinc (ZnP) Bar Soap 4 oz - Crafted for Those with Skin Conditions - Seborrheic Dermatitis, Dandruff, Psoriasis, Eczema, etc.]",1,1,8.59,8.59
'Mouse Pads & Wrist Rests',"[Leather Desk Pad Protector,Mouse Pad,Office Desk Mat, Non-Slip PU Leather Desk Blotter,Laptop Desk Pad,Waterproof Desk Writing Pad for Office and Home (31.5"" x 15.7"", Light Grey)]",1,1,13.99,13.99
'Laptop Accessories',"[Plugable Universal Laptop Docking Station, 4K Dual Monitor, DisplayPort or HDMI, Windows Mac or ChromeOS Laptops, USB-C or USB 3.0, Adds 2 Displays, Ethernet, Audio, 6 USB Ports]",1,1,159.95,159.95
'Plant Support Structures',[Gardeneer by Dalen HammerEdge Pound in Edging - 16 Durable Interlocking Pieces -18 feet of Coverage - Made in USA - Easy to Install],1,1,34.85,34.85
'Face',"[MISSHA M PERFECT COVER BB CREAM #21 SPF 42 PA+++, Multi-Function, High Coverage Makeup to help infuse moisture for firmer-looking skin with reduction in appearance of fine lines 50ml-Lightweight, Maybelline New York Dream Fresh Skin Hydrating BB cream, 8-in-1 Skin Perfecting Beauty Balm with Broad Spectrum SPF 30, Sheer Tint Coverage, Oil-Free, Light/Medium, 1 Fl Oz]",2,2,19.11,9.555
'Luggage & Travel Gear',[Bachelorette Fanny Pack Set (12 pack) Includes Bride Fanny Pack I Fanny Packs for Bachelorette Party Favors I Bride Tribe Funny Fanny Packs],1,1,54.99,54.99
'Home Décor Accents',"[Love-KANKEI Floating Shelves for Coffee Bar,Bathroom Shelves with Towel Bar, Wall Shelves with 8 Hooks for Kitchen, 17.3 Inch Storage Shelves Set of 2 for Bedroom,Living Room，Black, JORIKCHUO Nursery Book Shelves, Set of 2 Wood Floating Book Shelves for Kids Room, Kitchen Spice Rack, or Rustic Wall Mounted Shelves for Farmhouse Bathroom Decor (Natural Wood)]",2,2,44.98,22.49
'Accessories',"[Zwolf Strong Adhesive Mount for YI Pan-Tilt Security Camera , No Hole Needed , Perfect View Angle for Yi Home 360 Degree Indoor Pet Cam (Pack of 2), SILLY MONKEY Improved Design Umbrella Holder and Bonus Stroller Hook - Adjustable Parasol Clamp Mount for Stroller, Wheelchair, Rollator, Bike, Pram Sunshade - Complete with Non-Slip Multipurpose Clip, EPEIUS Baby Tights Baby Girls Non-Slip Plain/Ribbed Leggings Seamless Cotton Stockings Pantyhose Newborn Infant Toddler, 2 Pcs Rainbow Top Clown Hats Adjustable Elastic Y Back Style Suspenders Adjustable Bow Tie for Adults Men Firefighter Women, 3Pack Dual Port USB-C Wall Plug-in USB Charger, AILKIN 20W Power Delivery + QC3.0 USB A Double Port Fast Charging Block for iPhone 14 13 12 Pro Max 14 Pro 12 Mini 14 11 Pro Max 14 Plus 11 SE X XS Cube]",5,5,97.94999999999999,19.589999999999996
'Bottle-Feeding',"[NUK Smooth Flow Anti Colic Baby Bottle Nipples, Size 2 (6+ Months), Medium Flow, 2 Pack, Munchkin® Sponge™ Bottle Brush, 2 Pack, Grey]",2,2,16.91,8.455
'Bath',"[DEXDE Bathroom Rugs Non-Slip Bath Mat, Luxury Soft Absorbent Plush Microfiber Bath mats for Bathroom, Washable Boho Bathroom Rugs, Carpet for Tub, Shower,20""x32"", Beige, Munchkin® High 'n Dry™ Corner Bath Toy Organizer and Storage, Grey]",2,2,37.43,18.715
'Game & Recreation Room Furniture',[NIOIIKIT Nursery Rocking Chair Teddy Upholstered Glider Rocker Rocking Accent Chair Padded Seat with High Backrest Armchair Comfy Side Chair for Living Room Bedroom Offices (Yellow Teddy)],1,1,159.99,159.99
"'Racks, Shelves & Drawers'","[mDesign 35.3"" High Steel Frame/Wood Top Storage Dresser Furniture Unit, 8 Removable Slim Fabric Drawers - Tall Bureau Organizer for Bedroom, Living Room, Closet - Lido Collection, Black/Dark Gray]",1,1,66.99,66.99
'Hair Accessories',[40pcs Baby Hair Clips Tiny Bow Hair Clips for Newborn No Slip Toddler Mini Hair Bow Barrettes Hair Accessories for Baby Fine Hair Girls Infant Toddlers],1,1,11.99,11.99
"""Children's Books""","[Sing a Song of Sunshine (Interactive Early Bird Children's Song Book with 10 Sing-Along Tunes), Bedtime Songs: 11-Button Interactive Children's Sound Book (Early Bird Song), World of Eric Carle, Around the Farm 30-Button Animal Sound Book - Great for First Words - PI Kids]",3,3,45.589999999999996,15.196666666666665
'Jackets & Coats',[WEONEDREAM Toddler Baby Boys Girls Winter Fleece Jacket Small Kids Warm Hooded Outwear Coat],1,1,26.99,26.99
'Two-Pieces',[YOUNGER TREE Toddler Baby Girls Summer Swimsuit Sleeveless Striped Swimwear Two-Piece Suit Beach Bikini],1,1,20.98,20.98
'Camping Shelters',"[CleverMade Chair Umbrella, Outdoor Sport Canopy, Adjustable UPF 50+ Beach Umbrella with Clamps]",1,1,72.6,72.6
'Outdoor Décor',"[Perfin Wooden Wall Hooks, Plant Hangers Indoor, 8-Inch Wall Mounted Hanging Plant Hooks for Planters, Lanterns, Flower Bracket, Wind Chimes, Decoration Hooks (2 Pack), Pennington Pride Waste Free Blend Wild Bird Seed, 10 lb, PAWBEE Window Bird Feeder - Window Bird Feeders with Strong Suction Cups - Suction Cup Bird Feeder Window with Drain Holes for Rain - Clear Bird Feeders for Window - Bird House for Window Outside]",3,3,61.92999999999999,20.64333333333333
'Racks & Holders',[Fox Run Expanding Beechwood Coffee Mug Wall Rack],1,1,17.1,17.1
'Storage & Organization',"[Signice Banana Holder Stand - Newest Patented Modern Banana Tree Hanger with Wood Base Stainless Steel Banana Rack for Home Kitchen Use,Doesn't Tip Over (Black), mDesign 35.3"" High Steel Frame/Wood Top Storage Dresser Furniture Unit, 8 Removable Slim Fabric Drawers - Tall Bureau Organizer for Bedroom, Living Room, Closet - Lido Collection, Black/Dark Gray, Fox Run Expanding Beechwood Coffee Mug Wall Rack, TEDIDUWA Industrial Pipe Clothing Rack with Top Shelf, Space-Saving Wall Mounted Clothes Rack, Shelf with Hanging Rod for Closet Storage, Laundry Room. (1T, Brown)]",4,4,149.07999999999998,37.269999999999996
'Backyard Birding & Wildlife',"[Pennington Pride Waste Free Blend Wild Bird Seed, 10 lb, PAWBEE Window Bird Feeder - Window Bird Feeders with Strong Suction Cups - Suction Cup Bird Feeder Window with Drain Holes for Rain - Clear Bird Feeders for Window - Bird House for Window Outside]",2,2,44.98,22.49
'Birds',[PAWBEE Window Bird Feeder - Window Bird Feeders with Strong Suction Cups - Suction Cup Bird Feeder Window with Drain Holes for Rain - Clear Bird Feeders for Window - Bird House for Window Outside],1,1,19.99,19.99
"'Electrical Boxes, Conduits & Fittings'","[Safety Innovations Twin Door Baby Safety Outlet Cover Box for Babyproofing Outlets - More Interior Space for Extra Large Electrical Plugs and Adapters - Easy to Install - Easy to Use, (1-Pack)]",1,1,12.79,12.79
'Shower Accessories',"[Munchkin® High 'n Dry™ Corner Bath Toy Organizer and Storage, Grey]",1,1,11.44,11.44
'Wall Décor',"[ECam Rainbow Wall Decals, Boho Wall Decal, Rainbow Decal, Boho Wall Decor, Kids Wallpaper, Sun Wall Decal, Sun Wall Decor, Boho Rainbow Wallpaper for Nursery Playroom Kids Bedroom Classroom Decor, 23.62” X 23.62” Watercolor Boho Sun Wall Decals Peel and Stick, PVC Sunrise Wall Stickers, Yellow Sunshine Wall Art Decor for Kids Room Playroom Nursery Bedroom (Boho Sun-1)]",2,2,20.96,10.48
'Digestion & Nausea',"[MiraLAX Gentle Constipation Relief Laxative Powder, Stool Softener with PEG 3350, Works Naturally with Water in Your Body, No Harsh Side Effects, Osmotic Laxative, #1 Physician Recommended, 45 Dose, MiraLAX Gentle Constipation Relief Laxative Powder, Stool Softener with PEG 3350, Works Naturally with Water in Your Body, No Harsh Side Effects, Osmotic Laxative, #1 Physician Recommended, 45 Dose]",1,2,53.98,26.99
"'Paint, Wall Treatments & Supplies'","[5 Pieces Arch Wall Decal Boho Wall Decal Peel and Stick Modern Polka Dot Decals Arch Wall Stickers Terracotta Wall Decor Art Murals Wall Decal Removable Minimalist Wallpaper for Bedroom Living Room, Boho Arch Wall Decal Decor, Modern Simple Style Arch Wall Sticker for Living Room Bedroom, Removable Peel and Stick Large Boho Wallpaper Wall Art Hotel Corridor Decoration, 69.5”x32.3” (Yellow)(Wzy3), Tempaper TD3100 Arch Peel and Stick Wall Decal, Pastel Blue]",3,3,63.98,21.326666666666664
'Window Stickers & Films',"[Privacy Window Film Decoration, Heat Control Window Tint for Home, Static Cling Glass Door Coverings Window Sticker Removable Non-Adhesive UV Blocking, White Frosted w/ Morocco Lines, 35.4 by 118.1 In]",1,1,34.99,34.99
'Networking Products',[Google Nest WiFi Pro - Wi-Fi 6E - Reliable Home Wi-Fi System with Fast Speed and Whole Home Coverage - Mesh Wi-Fi Router - Snow],1,1,199.99,199.99
'Household Batteries',"[Duracell CR2032 3V Lithium Battery, Child Safety Features, 4 Count Pack, Lithium Coin Battery for Key Fob, Car Remote, Glucose Monitor, CR Lithium 3 Volt Cell]",1,1,7.36,7.36
'Pillows & Pillow Covers',"[My Bebe Baby Self Feeding Cushion, Baby Self Feeding Pillow, Breast Feeding Pillow, Baby Feeding Bottle Holder]",1,1,24.99,24.99
'Guards & Locks',"[ECHOGEAR TV Safety Straps for Flat Screens - Anchor TVs Up to 90"" to Furniture Or The Wall - Pre-Assembled Anti-Tip Strap Includes All Hardware for Baby Proofing Your TV]",1,1,15.99,15.99
'Disposables',"[Meat Hugger - Pink Butcher Paper Dispenser Box (17.25 Inch by 225 Feet Roll) - Heavy Duty Unwaxed Unbleached Food Grade Paper - Smoker Safe, Use Wrap While Cooking For Tender Meat]",1,1,25.99,25.99
'Cleaning Tools',"[Kexle Nitrile Disposable Gloves Pack of 100, Latex Free Safety Working Gloves for Food Handle or Industrial Use]",1,1,26.99,26.99
'Utensils',"[Tameler baby Spoons Self Feeding 6+ Months - 7 Pack Silicone Toddler First Stage Solid Feeding Utensils, Baby Led Weaning Supplies, 2-in-1 Rainbow Chew Spoons for Kids - BPA Free- Diswasher Safe]",1,1,9.99,9.99
'Adapters & Multi-Outlets',"[2 Prong Power Strip with Surge Protector 1700J, EyGde Multi Plug Outlet Extender with Rotating Plug, 6 Wall Outlet Splitter (3 Sided) with 4 USB Ports for Kitchen, Bathroom, White]",1,1,16.99,16.99
'Outdoor Cooking Tools & Accessories',"[SHINESTAR Grill Cover for Pit Boss 700FB, Lexington 500, Classic 700 Wood Pellet Grill, Special Zipper Design, Waterproof & Windproof]",1,1,29.99,29.99
'Tools & Home Improvement',"[Smart Light Bulbs [2 Pack], WiFi 2.4GHz & Bluetooth 5.0, Compatible w/ Alexa & Google Without Hub, Dimmable, Music Sync, Schedules, Color Changing Light Bulb RGBW Smart Bulb LED Bulb, A19/E26 9W 810LM, 5 Pieces Arch Wall Decal Boho Wall Decal Peel and Stick Modern Polka Dot Decals Arch Wall Stickers Terracotta Wall Decor Art Murals Wall Decal Removable Minimalist Wallpaper for Bedroom Living Room, Boho Arch Wall Decal Decor, Modern Simple Style Arch Wall Sticker for Living Room Bedroom, Removable Peel and Stick Large Boho Wallpaper Wall Art Hotel Corridor Decoration, 69.5”x32.3” (Yellow)(Wzy3), Tempaper TD3100 Arch Peel and Stick Wall Decal, Pastel Blue, SoftTouch 1"" x 60"" Heavy-Duty Self-Stick Felt Furniture Strip Roll - Protect Surfaces from Scratches & Damage, Beige (3 Pack), GE home electrical 3-Outlet Power Strip, 12 Ft Extension Cord, 2 Prong, 16 Gauge, Twist-to-Close Safety Outlet Covers, Indoor Rated, Perfect for Home, Office or Kitchen, UL Listed, White, 51954, JQK Toilet Paper Holder, 5 Inch 304 Stainless Steel Thick 0.8mm Tissue Paper Dispenser for Bathroom, Hold Mega Rolls, Brushed Nickel Wall Mount, TPH100-BN, Safety Innovations Twin Door Baby Safety Outlet Cover Box for Babyproofing Outlets - More Interior Space for Extra Large Electrical Plugs and Adapters - Easy to Install - Easy to Use, (1-Pack), Klein Tools JTH6M3 3 mm Hex Key with Journeyman T-Handle, 6-Inch, 2 Prong Power Strip with Surge Protector 1700J, EyGde Multi Plug Outlet Extender with Rotating Plug, 6 Wall Outlet Splitter (3 Sided) with 4 USB Ports for Kitchen, Bathroom, White]",10,10,148.9,14.89
"'Herbs, Spices & Seasonings'","[Elite Turkish Coffee with Cardamom, 3.5 oz (3 Pack), Elite Turkish Coffee with Cardamom, 3.5 oz (3 Pack), Elite Turkish Coffee with Cardamom, 3.5 oz (3 Pack)]",1,3,44.07,14.69
'Hand Tools',"[Klein Tools JTH6M3 3 mm Hex Key with Journeyman T-Handle, 6-Inch]",1,1,3.99,3.99
'Home & Kitchen',"[Table Top Penis Ring Toss Bachelorette Party Game, Same Penis Forever Favors, Divorce Party, Hen Party, Girls Night Out, Dick, DEXDE Bathroom Rugs Non-Slip Bath Mat, Luxury Soft Absorbent Plush Microfiber Bath mats for Bathroom, Washable Boho Bathroom Rugs, Carpet for Tub, Shower,20""x32"", Beige, NUFR 3 Feet Inflatable Penis and Pump Pack Blow Up Penis for Hen Party, Bachelor Party, Bachelorette Party , Bridal Shower Party Decorations and Games, Love-KANKEI Floating Shelves for Coffee Bar,Bathroom Shelves with Towel Bar, Wall Shelves with 8 Hooks for Kitchen, 17.3 Inch Storage Shelves Set of 2 for Bedroom,Living Room，Black, JORIKCHUO Nursery Book Shelves, Set of 2 Wood Floating Book Shelves for Kids Room, Kitchen Spice Rack, or Rustic Wall Mounted Shelves for Farmhouse Bathroom Decor (Natural Wood), NIOIIKIT Nursery Rocking Chair Teddy Upholstered Glider Rocker Rocking Accent Chair Padded Seat with High Backrest Armchair Comfy Side Chair for Living Room Bedroom Offices (Yellow Teddy), mDesign 35.3"" High Steel Frame/Wood Top Storage Dresser Furniture Unit, 8 Removable Slim Fabric Drawers - Tall Bureau Organizer for Bedroom, Living Room, Closet - Lido Collection, Black/Dark Gray, Signice Banana Holder Stand - Newest Patented Modern Banana Tree Hanger with Wood Base Stainless Steel Banana Rack for Home Kitchen Use,Doesn't Tip Over (Black), KEYPOWER Cuckoo Clock Cuckoo Wall Clock,Cuckoo Bird Voices Call, Design Clock Pendulum, Bird House, Wall Art Home Living Room Kitchen Office Decoration (Green), Fox Run Expanding Beechwood Coffee Mug Wall Rack, Munchkin® High 'n Dry™ Corner Bath Toy Organizer and Storage, Grey, Privacy Window Film Decoration, Heat Control Window Tint for Home, Static Cling Glass Door Coverings Window Sticker Removable Non-Adhesive UV Blocking, White Frosted w/ Morocco Lines, 35.4 by 118.1 In, Decodinli Passover Party Supplies Serves 25, Passover Party Decorations, Passover Seder Plates and Napkins, Passover Themed Disposable Seder Plates and Cups, Passover Tableware Set, TEDIDUWA Industrial Pipe Clothing Rack with Top Shelf, Space-Saving Wall Mounted Clothes Rack, Shelf with Hanging Rod for Closet Storage, Laundry Room. (1T, Brown)]",14,14,506.43000000000006,36.173571428571435
'External Components',"[Gotega External DVD Drive, USB 3.0 Portable CD/DVD +/-RW Drive/DVD Player for Laptop CD ROM Burner Compatible with Laptop Desktop PC Windows Linux OS Apple Mac Black]",1,1,22.99,22.99
'Patio Furniture & Accessories',"[Sun Shade Hardware Kit for Rectangle and Square Sun Shade Sails Installation,5 inch Heavy Duty Anti-Rust Sail Shade Hardware Kit with 50 ft Cable Wire Ropes, SUNNY GUARD Sun Shade Sail 16'5''x16'5''x16'5'' Triangle Terra UV Block Sunshade for Backyard Yard Deck Patio Garden Outdoor Activities and Facility(We Make Custom Size)]",2,2,58.980000000000004,29.490000000000002
'Clocks',"[KEYPOWER Cuckoo Clock Cuckoo Wall Clock,Cuckoo Bird Voices Call, Design Clock Pendulum, Bird House, Wall Art Home Living Room Kitchen Office Decoration (Green)]",1,1,42.99,42.99
'Hardware',"[SoftTouch 1"" x 60"" Heavy-Duty Self-Stick Felt Furniture Strip Roll - Protect Surfaces from Scratches & Damage, Beige (3 Pack), JQK Toilet Paper Holder, 5 Inch 304 Stainless Steel Thick 0.8mm Tissue Paper Dispenser for Bathroom, Hold Mega Rolls, Brushed Nickel Wall Mount, TPH100-BN]",2,2,26.259999999999998,13.129999999999999
'Baby Girls',"[Bearbay Baby Sock Shoes Rubber Sole Non-Skid Indoor Floor Slipper for Unisex Newborn Infants Toddlers Boys Girls, EPEIUS Baby Tights Baby Girls Non-Slip Plain/Ribbed Leggings Seamless Cotton Stockings Pantyhose Newborn Infant Toddler, Gerber Baby Girls' 3-Pack Short Sleeve Tees, YOUNGER TREE Toddler Baby Girls Summer Swimsuit Sleeveless Striped Swimwear Two-Piece Suit Beach Bikini]",4,4,64.95,16.2375
'Clothing',"[Gerber Baby Girls' 3-Pack Short Sleeve Tees, WEONEDREAM Toddler Baby Boys Girls Winter Fleece Jacket Small Kids Warm Hooded Outwear Coat, BerryGo Women's Boho V Neck Ruffle Floral Wrap Maxi Dress, YOUNGER TREE Toddler Baby Girls Summer Swimsuit Sleeveless Striped Swimwear Two-Piece Suit Beach Bikini]",4,4,113.95,28.4875
'Office & School Supplies',"[Magnetic Dry Erase Refrigerator Calendar with Markers - 15"" x 11"" Monthly Fridge Calendar and Today List, Fridge Whiteboard with Back Magnet, Leather Desk Pad Protector,Mouse Pad,Office Desk Mat, Non-Slip PU Leather Desk Blotter,Laptop Desk Pad,Waterproof Desk Writing Pad for Office and Home (31.5"" x 15.7"", Light Grey)]",2,2,23.98,11.99
'Strollers & Accessories',"[Summer Infant, 3D Mini Convenience Stroller – Lightweight Stroller with Compact Fold MultiPosition Recline Canopy with Pop Out Sun Visor and More – Umbrella Stroller for Travel and More, Gray, SILLY MONKEY Improved Design Umbrella Holder and Bonus Stroller Hook - Adjustable Parasol Clamp Mount for Stroller, Wheelchair, Rollator, Bike, Pram Sunshade - Complete with Non-Slip Multipurpose Clip]",2,2,75.98,37.99
'Electrical',"[GE home electrical 3-Outlet Power Strip, 12 Ft Extension Cord, 2 Prong, 16 Gauge, Twist-to-Close Safety Outlet Covers, Indoor Rated, Perfect for Home, Office or Kitchen, UL Listed, White, 51954, Safety Innovations Twin Door Baby Safety Outlet Cover Box for Babyproofing Outlets - More Interior Space for Extra Large Electrical Plugs and Adapters - Easy to Install - Easy to Use, (1-Pack), 2 Prong Power Strip with Surge Protector 1700J, EyGde Multi Plug Outlet Extender with Rotating Plug, 6 Wall Outlet Splitter (3 Sided) with 4 USB Ports for Kitchen, Bathroom, White]",3,3,36.67999999999999,12.226666666666665
'Dogs',"[Greenies Pill Pockets, 30 Count, Chicken Flavor, 3 Pack]",1,1,22.82,22.82
'Home Tests',[Premom Pregnancy Test Strips- 30 Pack Early Detection Pregnancy Test Kit Powered by Premom Ovulation Predictor iOS and Android APP],1,1,11.0,11.0
'Paper & Plastic',"[Turbo Bee 50 Pack 9oz Clear Plastic Cups,Disposable Crystal Drinking Cups,PET Plastic Party Cups for Wine,Juice,Iced Coffee and Cold Drinks, FOCUSLINE 150pcs Compostable Heavy-Duty Paper Plates Set Eco-Friendly Natural Disposable Bagasse Plates Cutlery Includes Biodegradable Plates, Forks, Knives, Spoons for Parties, Camping, Picnic]",2,2,33.58,16.79
"""Children's Dental Care""","[Amazon Basics Kids Battery Powered Toothbrush, 2 Count, 1 Pack (Previously Solimo)]",1,1,9.58,9.58
