category,products_in_category,cnt_distinct_products,cnt_purchased,sum_price,avg_price
'Health & Household',"[Hello Antiplaque Whitening Toothpaste, Fluoride Free Toothpaste for Teeth Whitening with Natural Peppermint Flavor and Tea Tree Oil, Peroxide Free, Gluten Free, SLS Free, 3 Pack, 4.7 OZ Tubes, Plackers Micro Mint Dental Flossers, Fresh Mint Flavor, Fold-Out Toothpick, Super Tuffloss, Easy Storage with Sure-Zip Seal, 150 Count, Duracell CR2032 3V Lithium Battery, Child Safety Features, 4 Count Pack, Lithium Coin Battery for Key Fob, Car Remote, Glucose Monitor, CR Lithium 3 Volt Cell, Kexle Nitrile Disposable Gloves Pack of 100, Latex Free Safety Working Gloves for Food Handle or Industrial Use, Premom Pregnancy Test Strips- 30 Pack Early Detection Pregnancy Test Kit Powered by Premom Ovulation Predictor iOS and Android APP, Turbo Bee 50 Pack 9oz Clear Plastic Cups,Disposable Crystal Drinking Cups,PET Plastic Party Cups for Wine,Juice,Iced Coffee and Cold Drinks, FOCUSLINE 150pcs Compostable Heavy-Duty Paper Plates Set Eco-Friendly Natural Disposable Bagasse Plates Cutlery Includes Biodegradable Plates, Forks, Knives, Spoons for Parties, Camping, Picnic, MiraLAX Gentle Constipation Relief Laxative Powder, Stool Softener with PEG 3350, Works Naturally with Water in Your Body, No Harsh Side Effects, Osmotic Laxative, #1 Physician Recommended, 45 Dose, MiraLAX Gentle Constipation Relief Laxative Powder, Stool Softener with PEG 3350, Works Naturally with Water in Your Body, No Harsh Side Effects, Osmotic Laxative, #1 Physician Recommended, 45 Dose, Amazon Basics Kids Battery Powered Toothbrush, 2 Count, 1 Pack (Previously Solimo)]",9,10,160.5,16.05
'Body',"[Dermaharmony 2% Pyrithione Zinc (ZnP) Bar Soap 4 oz - Crafted for Those with Skin Conditions - Seborrheic Dermatitis, Dandruff, Psoriasis, Eczema, etc.]",1,1,8.59,8.59
'Desk Accessories & Workspace Organizers',"[Leather Desk Pad Protector,Mouse Pad,Office Desk Mat, Non-Slip PU Leather Desk Blotter,Laptop Desk Pad,Waterproof Desk Writing Pad for Office and Home (31.5"" x 15.7"", Light Grey)]",1,1,13.99,13.99
'Computers & Accessories',"[Plugable Universal Laptop Docking Station, 4K Dual Monitor, DisplayPort or HDMI, Windows Mac or ChromeOS Laptops, USB-C or USB 3.0, Adds 2 Displays, Ethernet, Audio, 6 USB Ports, Google Nest WiFi Pro - Wi-Fi 6E - Reliable Home Wi-Fi System with Fast Speed and Whole Home Coverage - Mesh Wi-Fi Router - Snow, Gotega External DVD Drive, USB 3.0 Portable CD/DVD +/-RW Drive/DVD Player for Laptop CD ROM Burner Compatible with Laptop Desktop PC Windows Linux OS Apple Mac Black]",3,3,382.93,127.64333333333333
'Gardening & Lawn Care',[Gardeneer by Dalen HammerEdge Pound in Edging - 16 Durable Interlocking Pieces -18 feet of Coverage - Made in USA - Easy to Install],1,1,34.85,34.85
'Makeup',"[MISSHA M PERFECT COVER BB CREAM #21 SPF 42 PA+++, Multi-Function, High Coverage Makeup to help infuse moisture for firmer-looking skin with reduction in appearance of fine lines 50ml-Lightweight, Maybelline New York Dream Fresh Skin Hydrating BB cream, 8-in-1 Skin Perfecting Beauty Balm with Broad Spectrum SPF 30, Sheer Tint Coverage, Oil-Free, Light/Medium, 1 Fl Oz]",2,2,19.11,9.555
"'Clothing, Shoes & Jewelry'","[Bachelorette Fanny Pack Set (12 pack) Includes Bride Fanny Pack I Fanny Packs for Bachelorette Party Favors I Bride Tribe Funny Fanny Packs, Bearbay Baby Sock Shoes Rubber Sole Non-Skid Indoor Floor Slipper for Unisex Newborn Infants Toddlers Boys Girls, BALEAF Women's Conservative Athletic Racerback One Piece Training Bathing Suit, EPEIUS Baby Tights Baby Girls Non-Slip Plain/Ribbed Leggings Seamless Cotton Stockings Pantyhose Newborn Infant Toddler, 2 Pcs Rainbow Top Clown Hats Adjustable Elastic Y Back Style Suspenders Adjustable Bow Tie for Adults Men Firefighter Women, BerryGo Women's Boho V Neck Ruffle Floral Wrap Maxi Dress, Gerber Baby Girls' 3-Pack Short Sleeve Tees, WEONEDREAM Toddler Baby Boys Girls Winter Fleece Jacket Small Kids Warm Hooded Outwear Coat, YOUNGER TREE Toddler Baby Girls Summer Swimsuit Sleeveless Striped Swimwear Two-Piece Suit Beach Bikini]",9,9,257.90000000000003,28.65555555555556
'Home Décor Products',"[Love-KANKEI Floating Shelves for Coffee Bar,Bathroom Shelves with Towel Bar, Wall Shelves with 8 Hooks for Kitchen, 17.3 Inch Storage Shelves Set of 2 for Bedroom,Living Room，Black, JORIKCHUO Nursery Book Shelves, Set of 2 Wood Floating Book Shelves for Kids Room, Kitchen Spice Rack, or Rustic Wall Mounted Shelves for Farmhouse Bathroom Decor (Natural Wood), KEYPOWER Cuckoo Clock Cuckoo Wall Clock,Cuckoo Bird Voices Call, Design Clock Pendulum, Bird House, Wall Art Home Living Room Kitchen Office Decoration (Green), Privacy Window Film Decoration, Heat Control Window Tint for Home, Static Cling Glass Door Coverings Window Sticker Removable Non-Adhesive UV Blocking, White Frosted w/ Morocco Lines, 35.4 by 118.1 In]",4,4,122.96000000000001,30.740000000000002
'Security & Surveillance',"[Zwolf Strong Adhesive Mount for YI Pan-Tilt Security Camera , No Hole Needed , Perfect View Angle for Yi Home 360 Degree Indoor Pet Cam (Pack of 2)]",1,1,19.99,19.99
'Furniture',[NIOIIKIT Nursery Rocking Chair Teddy Upholstered Glider Rocker Rocking Accent Chair Padded Seat with High Backrest Armchair Comfy Side Chair for Living Room Bedroom Offices (Yellow Teddy)],1,1,159.99,159.99
'Hair Care',[40pcs Baby Hair Clips Tiny Bow Hair Clips for Newborn No Slip Toddler Mini Hair Bow Barrettes Hair Accessories for Baby Fine Hair Girls Infant Toddlers],1,1,11.99,11.99
'Books',"[Sing a Song of Sunshine (Interactive Early Bird Children's Song Book with 10 Sing-Along Tunes), Bedtime Songs: 11-Button Interactive Children's Sound Book (Early Bird Song), World of Eric Carle, Around the Farm 30-Button Animal Sound Book - Great for First Words - PI Kids]",3,3,45.589999999999996,15.196666666666665
'Swim',[YOUNGER TREE Toddler Baby Girls Summer Swimsuit Sleeveless Striped Swimwear Two-Piece Suit Beach Bikini],1,1,20.98,20.98
'Competitive Swimwear',[BALEAF Women's Conservative Athletic Racerback One Piece Training Bathing Suit],1,1,32.99,32.99
'Kitchen & Dining',"[Signice Banana Holder Stand - Newest Patented Modern Banana Tree Hanger with Wood Base Stainless Steel Banana Rack for Home Kitchen Use,Doesn't Tip Over (Black), Fox Run Expanding Beechwood Coffee Mug Wall Rack, Decodinli Passover Party Supplies Serves 25, Passover Party Decorations, Passover Seder Plates and Napkins, Passover Themed Disposable Seder Plates and Cups, Passover Tableware Set]",3,3,43.080000000000005,14.360000000000001
'Baby Products',"[Outlet Covers Baby Proofing White - PRObebi 38 Pack Plug Covers for Electrical Outlets, Child Proof Socket Covers, Baby Safety Products for Home, Office, Easy Insatllation, Protect Babies, Summer Infant, 3D Mini Convenience Stroller – Lightweight Stroller with Compact Fold MultiPosition Recline Canopy with Pop Out Sun Visor and More – Umbrella Stroller for Travel and More, Gray, NUK Smooth Flow Anti Colic Baby Bottle Nipples, Size 2 (6+ Months), Medium Flow, 2 Pack, SILLY MONKEY Improved Design Umbrella Holder and Bonus Stroller Hook - Adjustable Parasol Clamp Mount for Stroller, Wheelchair, Rollator, Bike, Pram Sunshade - Complete with Non-Slip Multipurpose Clip, My Bebe Baby Self Feeding Cushion, Baby Self Feeding Pillow, Breast Feeding Pillow, Baby Feeding Bottle Holder, ECHOGEAR TV Safety Straps for Flat Screens - Anchor TVs Up to 90"" to Furniture Or The Wall - Pre-Assembled Anti-Tip Strap Includes All Hardware for Baby Proofing Your TV, Munchkin® Sponge™ Bottle Brush, 2 Pack, Grey, 40pcs Baby Hair Clips Tiny Bow Hair Clips for Newborn No Slip Toddler Mini Hair Bow Barrettes Hair Accessories for Baby Fine Hair Girls Infant Toddlers, ECam Rainbow Wall Decals, Boho Wall Decal, Rainbow Decal, Boho Wall Decor, Kids Wallpaper, Sun Wall Decal, Sun Wall Decor, Boho Rainbow Wallpaper for Nursery Playroom Kids Bedroom Classroom Decor, 23.62” X 23.62” Watercolor Boho Sun Wall Decals Peel and Stick, PVC Sunrise Wall Stickers, Yellow Sunshine Wall Art Decor for Kids Room Playroom Nursery Bedroom (Boho Sun-1), Tameler baby Spoons Self Feeding 6+ Months - 7 Pack Silicone Toddler First Stage Solid Feeding Utensils, Baby Led Weaning Supplies, 2-in-1 Rainbow Chew Spoons for Kids - BPA Free- Diswasher Safe]",11,11,185.8,16.89090909090909
'Bathroom Accessories',"[Munchkin® High 'n Dry™ Corner Bath Toy Organizer and Storage, Grey]",1,1,11.44,11.44
'Décor',"[ECam Rainbow Wall Decals, Boho Wall Decal, Rainbow Decal, Boho Wall Decor, Kids Wallpaper, Sun Wall Decal, Sun Wall Decor, Boho Rainbow Wallpaper for Nursery Playroom Kids Bedroom Classroom Decor, 23.62” X 23.62” Watercolor Boho Sun Wall Decals Peel and Stick, PVC Sunrise Wall Stickers, Yellow Sunshine Wall Art Decor for Kids Room Playroom Nursery Bedroom (Boho Sun-1)]",2,2,20.96,10.48
'Over-the-Counter Medication',"[MiraLAX Gentle Constipation Relief Laxative Powder, Stool Softener with PEG 3350, Works Naturally with Water in Your Body, No Harsh Side Effects, Osmotic Laxative, #1 Physician Recommended, 45 Dose, MiraLAX Gentle Constipation Relief Laxative Powder, Stool Softener with PEG 3350, Works Naturally with Water in Your Body, No Harsh Side Effects, Osmotic Laxative, #1 Physician Recommended, 45 Dose]",1,2,53.98,26.99
'Window Treatments',"[Privacy Window Film Decoration, Heat Control Window Tint for Home, Static Cling Glass Door Coverings Window Sticker Removable Non-Adhesive UV Blocking, White Frosted w/ Morocco Lines, 35.4 by 118.1 In]",1,1,34.99,34.99
'Household Supplies',"[Duracell CR2032 3V Lithium Battery, Child Safety Features, 4 Count Pack, Lithium Coin Battery for Key Fob, Car Remote, Glucose Monitor, CR Lithium 3 Volt Cell, Kexle Nitrile Disposable Gloves Pack of 100, Latex Free Safety Working Gloves for Food Handle or Industrial Use, Turbo Bee 50 Pack 9oz Clear Plastic Cups,Disposable Crystal Drinking Cups,PET Plastic Party Cups for Wine,Juice,Iced Coffee and Cold Drinks, FOCUSLINE 150pcs Compostable Heavy-Duty Paper Plates Set Eco-Friendly Natural Disposable Bagasse Plates Cutlery Includes Biodegradable Plates, Forks, Knives, Spoons for Parties, Camping, Picnic]",4,4,67.92999999999999,16.982499999999998
'Food Service Equipment & Supplies',"[Meat Hugger - Pink Butcher Paper Dispenser Box (17.25 Inch by 225 Feet Roll) - Heavy Duty Unwaxed Unbleached Food Grade Paper - Smoker Safe, Use Wrap While Cooking For Tender Meat]",1,1,25.99,25.99
'Solid Feeding',"[Tameler baby Spoons Self Feeding 6+ Months - 7 Pack Silicone Toddler First Stage Solid Feeding Utensils, Baby Led Weaning Supplies, 2-in-1 Rainbow Chew Spoons for Kids - BPA Free- Diswasher Safe]",1,1,9.99,9.99
'Grills & Outdoor Cooking',"[SHINESTAR Grill Cover for Pit Boss 700FB, Lexington 500, Classic 700 Wood Pellet Grill, Special Zipper Design, Waterproof & Windproof]",1,1,29.99,29.99
'Pantry Staples',"[Elite Turkish Coffee with Cardamom, 3.5 oz (3 Pack), Elite Turkish Coffee with Cardamom, 3.5 oz (3 Pack), Elite Turkish Coffee with Cardamom, 3.5 oz (3 Pack)]",1,3,44.07,14.69
'Power & Hand Tools',"[Klein Tools JTH6M3 3 mm Hex Key with Journeyman T-Handle, 6-Inch]",1,1,3.99,3.99
'Computer Components',"[Gotega External DVD Drive, USB 3.0 Portable CD/DVD +/-RW Drive/DVD Player for Laptop CD ROM Burner Compatible with Laptop Desktop PC Windows Linux OS Apple Mac Black]",1,1,22.99,22.99
'Cell Phones & Accessories',"[3Pack Dual Port USB-C Wall Plug-in USB Charger, AILKIN 20W Power Delivery + QC3.0 USB A Double Port Fast Charging Block for iPhone 14 13 12 Pro Max 14 Pro 12 Mini 14 11 Pro Max 14 Plus 11 SE X XS Cube, Diaclara Designed for iPhone 14 Case, Full Body Rugged Case with Built-in Touch Sensitive Anti-Scratch Screen Protector, with Camera Lens Protector for iPhone 14 6.1"" (Lemon Yellow)]",2,2,33.98,16.99
'Baby',"[Bearbay Baby Sock Shoes Rubber Sole Non-Skid Indoor Floor Slipper for Unisex Newborn Infants Toddlers Boys Girls, EPEIUS Baby Tights Baby Girls Non-Slip Plain/Ribbed Leggings Seamless Cotton Stockings Pantyhose Newborn Infant Toddler, Gerber Baby Girls' 3-Pack Short Sleeve Tees, WEONEDREAM Toddler Baby Boys Girls Winter Fleece Jacket Small Kids Warm Hooded Outwear Coat, YOUNGER TREE Toddler Baby Girls Summer Swimsuit Sleeveless Striped Swimwear Two-Piece Suit Beach Bikini]",5,5,91.94,18.387999999999998
'Office Products',"[Magnetic Dry Erase Refrigerator Calendar with Markers - 15"" x 11"" Monthly Fridge Calendar and Today List, Fridge Whiteboard with Back Magnet, Leather Desk Pad Protector,Mouse Pad,Office Desk Mat, Non-Slip PU Leather Desk Blotter,Laptop Desk Pad,Waterproof Desk Writing Pad for Office and Home (31.5"" x 15.7"", Light Grey)]",2,2,23.98,11.99
'Pet Supplies',"[Greenies Pill Pockets, 30 Count, Chicken Flavor, 3 Pack]",1,1,22.82,22.82
'Medical Supplies & Equipment',[Premom Pregnancy Test Strips- 30 Pack Early Detection Pregnancy Test Kit Powered by Premom Ovulation Predictor iOS and Android APP],1,1,11.0,11.0
'Beauty & Personal Care',"[Speed Stick Men's Deodorant, Regular, 3 Ounce, 4 Pack, MISSHA M PERFECT COVER BB CREAM #21 SPF 42 PA+++, Multi-Function, High Coverage Makeup to help infuse moisture for firmer-looking skin with reduction in appearance of fine lines 50ml-Lightweight, Maybelline New York Dream Fresh Skin Hydrating BB cream, 8-in-1 Skin Perfecting Beauty Balm with Broad Spectrum SPF 30, Sheer Tint Coverage, Oil-Free, Light/Medium, 1 Fl Oz, Dermaharmony 2% Pyrithione Zinc (ZnP) Bar Soap 4 oz - Crafted for Those with Skin Conditions - Seborrheic Dermatitis, Dandruff, Psoriasis, Eczema, etc.]",4,4,38.86,9.715
'Dinnerware',"[Decodinli Passover Party Supplies Serves 25, Passover Party Decorations, Passover Seder Plates and Napkins, Passover Themed Disposable Seder Plates and Cups, Passover Tableware Set]",1,1,9.99,9.99
'Baby & Child Dental Care',"[Amazon Basics Kids Battery Powered Toothbrush, 2 Count, 1 Pack (Previously Solimo)]",1,1,9.58,9.58
'Skin Care',"[Dermaharmony 2% Pyrithione Zinc (ZnP) Bar Soap 4 oz - Crafted for Those with Skin Conditions - Seborrheic Dermatitis, Dandruff, Psoriasis, Eczema, etc.]",1,1,8.59,8.59
'Electronics',"[Plugable Universal Laptop Docking Station, 4K Dual Monitor, DisplayPort or HDMI, Windows Mac or ChromeOS Laptops, USB-C or USB 3.0, Adds 2 Displays, Ethernet, Audio, 6 USB Ports, Zwolf Strong Adhesive Mount for YI Pan-Tilt Security Camera , No Hole Needed , Perfect View Angle for Yi Home 360 Degree Indoor Pet Cam (Pack of 2), Google Nest WiFi Pro - Wi-Fi 6E - Reliable Home Wi-Fi System with Fast Speed and Whole Home Coverage - Mesh Wi-Fi Router - Snow, Gotega External DVD Drive, USB 3.0 Portable CD/DVD +/-RW Drive/DVD Player for Laptop CD ROM Burner Compatible with Laptop Desktop PC Windows Linux OS Apple Mac Black]",4,4,402.92,100.73
'Baby Care',[40pcs Baby Hair Clips Tiny Bow Hair Clips for Newborn No Slip Toddler Mini Hair Bow Barrettes Hair Accessories for Baby Fine Hair Girls Infant Toddlers],1,1,11.99,11.99
'Baby Boys',[WEONEDREAM Toddler Baby Boys Girls Winter Fleece Jacket Small Kids Warm Hooded Outwear Coat],1,1,26.99,26.99
'Sport Specific Clothing',[BALEAF Women's Conservative Athletic Racerback One Piece Training Bathing Suit],1,1,32.99,32.99
'Camping & Hiking',"[CleverMade Chair Umbrella, Outdoor Sport Canopy, Adjustable UPF 50+ Beach Umbrella with Clamps]",1,1,72.6,72.6
'Nursery',"[ECam Rainbow Wall Decals, Boho Wall Decal, Rainbow Decal, Boho Wall Decor, Kids Wallpaper, Sun Wall Decal, Sun Wall Decor, Boho Rainbow Wallpaper for Nursery Playroom Kids Bedroom Classroom Decor, 23.62” X 23.62” Watercolor Boho Sun Wall Decals Peel and Stick, PVC Sunrise Wall Stickers, Yellow Sunshine Wall Art Decor for Kids Room Playroom Nursery Bedroom (Boho Sun-1)]",2,2,20.96,10.48
'Health Care',"[MiraLAX Gentle Constipation Relief Laxative Powder, Stool Softener with PEG 3350, Works Naturally with Water in Your Body, No Harsh Side Effects, Osmotic Laxative, #1 Physician Recommended, 45 Dose, MiraLAX Gentle Constipation Relief Laxative Powder, Stool Softener with PEG 3350, Works Naturally with Water in Your Body, No Harsh Side Effects, Osmotic Laxative, #1 Physician Recommended, 45 Dose]",1,2,53.98,26.99
'Costumes & Accessories',[2 Pcs Rainbow Top Clown Hats Adjustable Elastic Y Back Style Suspenders Adjustable Bow Tie for Adults Men Firefighter Women],1,1,30.99,30.99
'Industrial & Scientific',"[Meat Hugger - Pink Butcher Paper Dispenser Box (17.25 Inch by 225 Feet Roll) - Heavy Duty Unwaxed Unbleached Food Grade Paper - Smoker Safe, Use Wrap While Cooking For Tender Meat]",1,1,25.99,25.99
'Novelty & More',[BerryGo Women's Boho V Neck Ruffle Floral Wrap Maxi Dress],1,1,46.99,46.99
'Grocery & Gourmet Food',"[Elite Turkish Coffee with Cardamom, 3.5 oz (3 Pack), Elite Turkish Coffee with Cardamom, 3.5 oz (3 Pack), Elite Turkish Coffee with Cardamom, 3.5 oz (3 Pack)]",1,3,44.07,14.69
'Dinnerware & Serveware',"[Decodinli Passover Party Supplies Serves 25, Passover Party Decorations, Passover Seder Plates and Napkins, Passover Themed Disposable Seder Plates and Cups, Passover Tableware Set]",1,1,9.99,9.99
'Outdoor Recreation',"[CleverMade Chair Umbrella, Outdoor Sport Canopy, Adjustable UPF 50+ Beach Umbrella with Clamps]",1,1,72.6,72.6
'Dining & Entertaining',"[Decodinli Passover Party Supplies Serves 25, Passover Party Decorations, Passover Seder Plates and Napkins, Passover Themed Disposable Seder Plates and Cups, Passover Tableware Set]",1,1,9.99,9.99
'Sports & Outdoors',"[CleverMade Chair Umbrella, Outdoor Sport Canopy, Adjustable UPF 50+ Beach Umbrella with Clamps]",1,1,72.6,72.6
'Garment Racks',"[TEDIDUWA Industrial Pipe Clothing Rack with Top Shelf, Space-Saving Wall Mounted Clothes Rack, Shelf with Hanging Rod for Closet Storage, Laundry Room. (1T, Brown)]",1,1,49.0,49.0
'Holsters',"[Diaclara Designed for iPhone 14 Case, Full Body Rugged Case with Built-in Touch Sensitive Anti-Scratch Screen Protector, with Camera Lens Protector for iPhone 14 6.1"" (Lemon Yellow)]",1,1,17.99,17.99
'Clothing & Closet Storage',"[TEDIDUWA Industrial Pipe Clothing Rack with Top Shelf, Space-Saving Wall Mounted Clothes Rack, Shelf with Hanging Rod for Closet Storage, Laundry Room. (1T, Brown)]",1,1,49.0,49.0
"'Cases, Holsters & Sleeves'","[Diaclara Designed for iPhone 14 Case, Full Body Rugged Case with Built-in Touch Sensitive Anti-Scratch Screen Protector, with Camera Lens Protector for iPhone 14 6.1"" (Lemon Yellow)]",1,1,17.99,17.99
'Safety',"[Outlet Covers Baby Proofing White - PRObebi 38 Pack Plug Covers for Electrical Outlets, Child Proof Socket Covers, Baby Safety Products for Home, Office, Easy Insatllation, Protect Babies, ECHOGEAR TV Safety Straps for Flat Screens - Anchor TVs Up to 90"" to Furniture Or The Wall - Pre-Assembled Anti-Tip Strap Includes All Hardware for Baby Proofing Your TV]",2,2,24.98,12.49
'Novelty',[BerryGo Women's Boho V Neck Ruffle Floral Wrap Maxi Dress],1,1,46.99,46.99
'Personal Care',"[Speed Stick Men's Deodorant, Regular, 3 Ounce, 4 Pack]",1,1,11.16,11.16
'Feeding',"[NUK Smooth Flow Anti Colic Baby Bottle Nipples, Size 2 (6+ Months), Medium Flow, 2 Pack, My Bebe Baby Self Feeding Cushion, Baby Self Feeding Pillow, Breast Feeding Pillow, Baby Feeding Bottle Holder, Munchkin® Sponge™ Bottle Brush, 2 Pack, Grey, Tameler baby Spoons Self Feeding 6+ Months - 7 Pack Silicone Toddler First Stage Solid Feeding Utensils, Baby Led Weaning Supplies, 2-in-1 Rainbow Chew Spoons for Kids - BPA Free- Diswasher Safe]",4,4,51.89000000000001,12.972500000000002
'Tents & Shelters',"[CleverMade Chair Umbrella, Outdoor Sport Canopy, Adjustable UPF 50+ Beach Umbrella with Clamps]",1,1,72.6,72.6
"'Patio, Lawn & Garden'","[Perfin Wooden Wall Hooks, Plant Hangers Indoor, 8-Inch Wall Mounted Hanging Plant Hooks for Planters, Lanterns, Flower Bracket, Wind Chimes, Decoration Hooks (2 Pack), Sun Shade Hardware Kit for Rectangle and Square Sun Shade Sails Installation,5 inch Heavy Duty Anti-Rust Sail Shade Hardware Kit with 50 ft Cable Wire Ropes, SUNNY GUARD Sun Shade Sail 16'5''x16'5''x16'5'' Triangle Terra UV Block Sunshade for Backyard Yard Deck Patio Garden Outdoor Activities and Facility(We Make Custom Size), Gardeneer by Dalen HammerEdge Pound in Edging - 16 Durable Interlocking Pieces -18 feet of Coverage - Made in USA - Easy to Install, Pennington Pride Waste Free Blend Wild Bird Seed, 10 lb, SHINESTAR Grill Cover for Pit Boss 700FB, Lexington 500, Classic 700 Wood Pellet Grill, Special Zipper Design, Waterproof & Windproof, PAWBEE Window Bird Feeder - Window Bird Feeders with Strong Suction Cups - Suction Cup Bird Feeder Window with Drain Holes for Rain - Clear Bird Feeders for Window - Bird House for Window Outside]",7,7,185.75000000000003,26.53571428571429
